Start Point,End Point,Sedan,SUV,Minivan
Krabi Airport,Krabi City Centre,450,500,550
Krabi Airport,Ao Nammao Pier,600,700,750
Krabi Airport,Ao Nang / Nopparat Thara,600,700,750
Krabi Airport,Klong Muang,700,800,900
Krabi Airport,Tub Kaek,800,900,1000
Krabi Airport,Klong Jin (Koh Lanta),2600,2800,3000
Koh Samui Airport,Pilae Laem,590,650,700
Koh Samui Airport,Chaweng,590,650,700
Koh Samui Airport,BangRak,590,650,700
Koh Samui Airport,Bo Phut,590,650,700
Koh Samui Airport,Choengmon,590,650,700
Koh Samui Airport,Baan Tai,650,690,750
Koh Samui Airport,Bang Por,690,750,800
Koh Samui Airport,Lamai,690,750,800
Koh Samui Airport,Mae Nam,690,750,800
Koh Samui Airport,Hua Thanon,750,800,850
Koh Samui Airport,Suan Pee Seua,750,800,850
Koh Samui Airport,Na Thon,750,800,850
Koh Samui Airport,Lipa Noi,950,1000,1050
Koh Samui Airport,Pang Kha,950,1000,1050
Koh Samui Airport,Conrad Area,950,1000,1050
Koh Samui Airport,Baan Taling Ngam Area,950,1000,1050
Ao Nang,Phuket Airport,2500,2800,3000
Ao Nang,Patong / Kata / Karon,2800,3000,2800
Phuket Airport,Patong,750,850,950
Phuket Airport,Karon,750,850,950
Phuket Airport,Kata,750,850,950
Phuket Airport,Rawai,850,950,1050
Phuket Airport,Nai Harn,850,950,1050
Phuket Airport,Chalong,750,850,950
Phuket Airport,Cape Panwa,750,850,950
Phuket Airport,Ao Po Pier,750,850,950
Phuket Airport,Nai Yang,750,850,950
Phuket Airport,Nai Thon Beach,750,850,950
Phuket Airport,Mai Khao,750,850,950
Phuket Airport,Kathu,750,850,950
Phuket Airport,Bang Tao,750,850,950
Phuket Airport,Surin,750,850,950
Phuket Airport,Kamala,750,850,950
